id,action,verb,noun
1046, put-in_salad,22,54
1047, put-in_microwave,22,55
1048, put-in_oven,22,56
1049, put-in_cooker:rice,22,57
1050, insert_coffee,22,58
1051, insert_filter,22,59
1052, put-in_bowl,22,6
1053, put-into_rack,22,61
1054, insert_spoon,22,7
1055, put-in_lettuce,22,73
1056, put-into_cupboard,22,8
1057, put-in_sausage,22,84
1058, put-in_drawer,22,9
1059, put-into_curry,22,95
1060, push_chopstick,23,117
1061, push_onion,23,13
1062, push_pot,23,15
1063, press_switch,23,154
1064, press_oat,23,158
1065, press_button,23,176
1066, press_parsley,23,178
1067, compress_bag:pasta,23,20
1068, compress_sandwich,23,206
1069, press_spatula,23,22
1070, push_bin,23,25
1071, press-on_meat,23,26
1072, compress_bottle:milk,23,28
1073, press_food,23,37
1074, press_garlic,23,45
1075, press_pepper,23,46
1076, press_dough,23,48
1077, press_tortilla,23,80
1078, push_drawer,23,9
1079, fill_pan,24,1
1080, fill_carafe,24,105
1081, fill-up_lid,24,11
1082, fill_moka,24,126
1083, fill_roll,24,127
1084, fill_pot:coffee,24,15
1085, fill_glass,24,16
1086, fill_water,24,17
1087, stuff_sandwich,24,206
1088, fill_mug,24,23
1089, fill_bin,24,25
1090, fill_bottle,24,28
1091, fill_container,24,29
1092, fill_nozzle:coffee,24,3
1093, fill_kettle,24,38
1094, fill_box,24,39
1095, fill_filter:water,24,59
1096, fill_bowl:salad,24,6
1097, fill_jar,24,60
1098, fill_liquid,24,71
1099, stuff_tortilla,24,80
1100, fill-up_can,24,87
1101, fill_squash,24,99
1102, add-to_pan,25,1
1103, combine_fish,25,100
1104, add_yoghurt,25,116
1105, add_oregano,25,121
1106, add_onion,25,13
1107, add_nut:pine,25,147
1108, add_vinegar,25,162
1109, add_water:hot,25,17
1110, add_time:cooking,25,188
1111, add_oil:olive,25,24
1112, add_meat,25,26
1113, add_potato,25,27
1114, add_salt,25,31
1115, add_sauce,25,41
1116, add_garlic,25,45
1117, add_pepper,25,46
1118, add-in_bowl,25,6
1119, add_chicken,25,62
1120, add_sachet:flavour,25,77
1121, add_olive,25,83
1122, add_vegetable,25,90
1123, add_flour,25,93
1124, add_soap,25,98
1125, scrape_pan,26,1
1126, scour_jug,26,105
1127, scrape_stock:leftover,26,111
1128, scrape_tuna,26,122
1129, scrape_onion,26,13
1130, scour_fork,26,18
1131, scrape_stuff:board,26,19
1132, scrape_pestle,26,211
1133, scrap_spatula,26,22
1134, scrape_mustard,26,283
1135, scrape_tomato,26,30
1136, scrape_sink,26,33
1137, scrape_food,26,37
1138, scour_plate,26,4
1139, scrape_carrot,26,40
1140, scrape_rice,26,44
1141, scrape_garlic,26,45
1142, scrape_pepper,26,46
1143, scrape-off_knife,26,5
1144, loose_egg,26,50
1145, scour_bowl,26,6
1146, scrape_chicken,26,62
1147, scour_tray:baking,26,63
1148, scour_spoon,26,7
1149, scrape_chorizo,26,84
1150, scour_tin,26,87
1151, sharpen_knife,27,5
1152, cover_pan,28,1
1153, cover_lid,28,11
1154, seal_onion,28,13
1155, wrap_lime,28,140
1156, cover_pot,28,15
1157, cover_glass,28,16
1158, cover_grinder,28,163
1159, cover_toaster,28,172
1160, tie_bag,28,20
1161, tie_apron,28,214
1162, top_tail,28,245
1163, cover_container:sauce,28,29
1164, cover_tomato,28,30
1165, cover_salt,28,31
1166, wrap_wire,28,311
1167, seal_box:rice,28,39
1168, cover_plate,28,4
1169, cover_sauce,28,41
1170, wrap_cheese,28,51
1171, clip_bread,28,52
1172, cover_salad,28,54
1173, cover_bowl,28,6
1174, fasten_packaging:salad,28,77
1175, cover_top,28,78
1176, cover_sausage,28,84
1177, cover_curry,28,95
1178, wrap_squash,28,99
1179, roll_omelette,29,199
1180, roll_bag:flour,29,20
1181, roll-up_sleeve,29,309
1182, roll_dough,29,48
1183, roll_knife,29,5
1184, roll_egg,29,50
1185, roll_bread,29,52
1186, roll_tray:baking,29,63
1187, roll-up_flour,29,93
1188, open_pan,2,1
1189, open_fridge,2,10
1190, open_chilli,2,101
1191, open_cover:plastic,2,102
1192, open_sugar,2,103
1193, open_carafe,2,105
1194, open_heat,2,106
1195, open_trash,2,108
1196, open_lid,2,11
1197, open_mushroom,2,110
1198, open_stock,2,111
1199, open_freezer,2,112
1200, open_light,2,113
1201, open_pizza,2,114
1202, open_yoghurt,2,116
1203, open_grape,2,118
1204, open_root:galangal,2,119
1205, open_oregano,2,121
1206, open-of_tuna,2,122
1207, open_basket,2,125
1208, open_machine:coffee,2,126
1209, open_washing,2,130
1210, open_bacon,2,133
1211, open_avocado,2,134
1212, open_blueberry,2,135
1213, open_pesto,2,136
1214, open_bean:green,2,138
1215, open_onion:spring,2,14
1216, open_paste:miso,2,145
1217, open_processor,2,146
1218, open_butter,2,148
1219, open_pot:sauce,2,15
1220, open_powder:curry,2,155
1221, open_oat,2,158
1222, open_sweetcorn,2,161
1223, open_vinegar,2,162
1224, open_grinder,2,163
1225, open_cap,2,164
1226, open_trivet,2,165
1227, open_water:tap,2,17
1228, open_ventilator,2,170
1229, open_thyme,2,183
1230, open_honey,2,184
1231, open_yeast,2,191
1232, open_hummus,2,192
1233, open_coconut,2,193
1234, open_spinach,2,195
1235, open_nutella,2,196
1236, open_dressing:salad,2,198
1237, open_bag:cereal,2,20
1238, open_juice,2,215
1239, open_mocha,2,224
1240, open_turmeric,2,227
1241, open_paprika,2,231
1242, open_mayonnaise,2,238
1243, open_cookie,2,239
1244, open_oil,2,24
1245, open_bin,2,25
1246, open_almond:canned,2,255
1247, open_meat,2,26
1248, open_smoothie,2,267
1249, open_ketchup,2,269
1250, open_bottle,2,28
1251, open_container,2,29
1252, open_garni:bouquet,2,295
1253, open_tap,2,3
1254, open_tomato:chopped,2,30
1255, open_window,2,300
1256, open_salt,2,31
1257, open_fire,2,313
1258, open_sink,2,33
1259, open_rosemary,2,331
1260, open_cube:gravy,2,335
1261, open_tube,2,344
1262, open_pasta,2,35
1263, open_food,2,37
1264, open_kettle,2,38
1265, open_box:sausage,2,39
1266, open_dish,2,4
1267, open_carrot,2,40
1268, open_mirin,2,41
1269, open_milk:soy,2,43
1270, open_rice,2,44
1271, open_garlic,2,45
1272, open_pepper:red,2,46
1273, open_gas,2,47
1274, open_dishwasher,2,49
1275, open_knife,2,5
1276, open_egg,2,50
1277, open-up_cheese,2,51
1278, open_bread,2,52
1279, open_salad,2,54
1280, open_microwave,2,55
1281, open_oven,2,56
1282, open_coffee,2,58
1283, open_filter,2,59
1284, open_bowl:yoghurt,2,6
1285, open_jar:sugar,2,60
1286, open_rack,2,61
1287, open_chicken,2,62
1288, open_tray,2,63
1289, open_mixture,2,64
1290, open_towel,2,65
1291, open_skin,2,68
1292, open_cleaner,2,70
1293, open_liquid,2,71
1294, open_lettuce,2,73
1295, open_packet,2,77
1296, open_top,2,78
1297, open_spice,2,79
1298, open_door,2,8
1299, open_tortilla,2,80
1300, open_paper,2,81
1301, open_machine:washing,2,82
1302, open_olive,2,83
1303, open_can,2,87
1304, open_mat:table,2,88
1305, open_drawer,2,9
1306, open_wrap:plastic,2,91
1307, open_wrap,2,92
1308, open_flour,2,93
1309, open_cucumber,2,94
1310, open_granola,2,96
1311, open_squash,2,99
1312, sprinkle_chilli,30,101
1313, crumble_cube:stock,30,111
1314, sprinkle_oregano,30,121
1315, scatter_tuna,30,122
1316, sprinkle_onion,30,13
1317, sprinkle_bacon,30,133
1318, sprinkle_pesto,30,136
1319, sprinkle_sweetcorn,30,161
1320, sprinkle_water,30,17
1321, sprinkle_herb,30,180
1322, sprinkle_oil,30,24
1323, sprinkle_flake:chilli,30,257
1324, sprinkle_sun,30,30
1325, sprinkle_salt,30,31
1326, sprinkle_rosemary,30,331
1327, drizzle_sauce:soy,30,41
1328, sprinkle_pepper,30,46
1329, sprinkle_mozzarella,30,51
1330, sprinkle_flour,30,93
1331, break_stock,31,111
1332, break_piece:ginger,31,119
1333, snap_bean:green,31,138
1334, break_meat,31,26
1335, break-up_cube:gravy,31,335
1336, break-up_rice,31,44
1337, break-up_garlic,31,45
1338, crack_egg,31,50
1339, break_slice:cheese,31,51
1340, break_towel:paper,31,66
1341, flip_pan,32,1
1342, turn-over_fish,32,100
1343, flip_aubergine,32,104
1344, flip_tuna,32,122
1345, flip_oat,32,158
1346, overturn_corn,32,161
1347, flip_grinder:coffee,32,163
1348, flip_tongs,32,168
1349, flip_base:pizza,32,181
1350, flip_burger:tuna,32,207
1351, flip_spatula,32,22
1352, flip_meat,32,26
1353, flip_dough,32,48
1354, flip_bread,32,52
1355, flip_breast:chicken,32,62
1356, flip_tray:pizza,32,63
1357, turn-over_tortilla,32,80
1358, flip_sausage,32,84
1359, hang_clothes,33,130
1360, hang_pot,33,15
1361, hang_shirt,33,204
1362, hang_sock,33,212
1363, hang-up_spatula,33,22
1364, hang-up_mug,33,23
1365, hang_boxer,33,230
1366, hang_cloth,33,32
1367, hang_trouser,33,351
1368, hang-up_towel:tea,33,65
1369, hang_glove,33,85
1370, hold_pan,34,1
1371, hold_lid,34,11
1372, hold_switch:oil,34,154
1373, hold_glass,34,16
1374, hold_mug,34,23
1375, hold_tap,34,3
1376, hold_press,34,314
1377, hold_sink:empty,34,33
1378, hold_kettle,34,38
1379, hold_plate,34,4
1380, hold_cheese,34,51
1381, hold_filter:water,34,59
1382, hold_jar:sugar,34,60
1383, hold_piece:chicken,34,62
1384, hold_tray,34,63
1385, hold_cupboard,34,8
1386, arrange_pan,35,1
1387, clear_hand,35,12
1388, tidy-up_kitchen:tidy,35,123
1389, arrange_avocado,35,134
1390, rearrange_piece:lime,35,140
1391, arrange_glass,35,16
1392, arrange_trivet,35,165
1393, arrange_fork,35,18
1394, arrange_kiwi,35,186
1395, line-up_cilantro,35,223
1396, arrange_mug,35,23
1397, arrange_apple,35,234
1398, arrange_bin,35,25
1399, arrange_tomato,35,30
1400, arrange_cloth,35,32
1401, sort_food,35,37
1402, arrange_kettle,35,38
1403, arrange_pepper:bell,35,46
1404, rearrange_egg,35,50
1405, rearrange_bread,35,52
1406, sort_coffee,35,58
1407, arrange_bowl,35,6
1408, arrange_jar,35,60
1409, arrange_mixture,35,64
1410, arrange_spoon:wooden,35,7
1411, rearrange_cupboard,35,8
1412, arrange_tortilla,35,80
1413, arrange_drawer,35,9
1414, spread_onion,36,13
1415, spread_pesto,36,136
1416, apply_foil,36,141
1417, spread_butter,36,148
1418, spread_tablecloth,36,153
1419, spread_cream,36,166
1420, spread_honey,36,184
1421, spread_nutella,36,196
1422, spread_food:leftover,36,209
1423, spread_oil:olive,36,24
1424, spread_meat,36,26
1425, spread_basil,36,277
1426, spread_tomato,36,30
1427, spread_sauce,36,41
1428, spread_dough,36,48
1429, spread_mozzarella,36,51
1430, spread-on_rusk,36,52
1431, spread_liquid:cleaning,36,70
1432, spread_liquid,36,71
1433, spread_leaf:basil,36,72
1434, apply_spice,36,79
1435, spread_olive,36,83
1436, spread_flour,36,93
1437, crush_pan,37,1
1438, crush_cube:stock,37,111
1439, grate_ginger,37,119
1440, mash_avocado,37,134
1441, grind_grinder,37,163
1442, grate_carrot,37,40
1443, mash_garlic,37,45
1444, grind_pepper,37,46
1445, grind_coffee,37,58
1446, crush_leaf,37,72
1447, grind_spice,37,79
1448, search_fridge,38,10
1449, find_cover,38,102
1450, search_hand,38,12
1451, look-for_tuna,38,122
1452, look-for_scale,38,144
1453, search-for_tea,38,177
1454, search-for_kiwi,38,186
1455, look-for_pestle,38,211
1456, look-for_cup:measuring,38,23
1457, search-for_paprika,38,231
1458, search-for_oil:olive,38,24
1459, look-for_eggshell,38,249
1460, look-for_potato,38,27
1461, search_pasta,38,35
1462, search-for_plate,38,4
1463, find_garlic,38,45
1464, look-for_knife,38,5
1465, search-for_table,38,53
1466, locate_cooker,38,56
1467, search_bowl,38,6
1468, search_towel,38,65
1469, look-for_spoon,38,7
1470, search-for_scissors,38,76
1471, look-for_spice,38,79
1472, search-in_cupboard,38,8
1473, search_sausage,38,84
1474, look-for_drawer,38,9
1475, look-for_vegetable,38,90
1476, search-for_cucumber,38,94
1477, taste_chilli,39,101
1478, smell_hand,39,12
1479, taste_corn,39,161
1480, smell_fraiche,39,166
1481, taste_cherry,39,252
1482, taste_meat,39,26
1483, taste_pasta,39,35
1484, taste_food,39,37
1485, taste_rice,39,44
1486, taste_paneer,39,51
1487, taste_salad,39,54
1488, taste_mixture,39,64
1489, lick_spoon,39,7
1490, taste_liquid,39,71
1491, taste_cucumber,39,94
1492, taste_squash,39,99
1493, close_pan,3,1
1494, close_fridge,3,10
1495, close_cover,3,102
1496, close_sugar,3,103
1497, close_pitcher,3,105
1498, close_heat,3,106
1499, close_trash,3,108
1500, close_lid,3,11
1501, close_cube:stock,3,111
1502, close_freezer,3,112
1503, close_yoghurt,3,116
1504, close_grape,3,118
1505, close_oregano,3,121
1506, close_basket,3,125
1507, close_machine:coffee,3,126
1508, close_pesto,3,136
1509, close-off_scale,3,144
1510, close_paste:garlic,3,145
1511, close_processor:food,3,146
1512, close_butter,3,148
1513, close_pot:sauce,3,15
1514, close_powder:curry,3,155
1515, close_sweetcorn,3,161
1516, close_vinegar:rice,3,162
1517, close_cap,3,164
1518, close_trivet,3,165
1519, close_water,3,17
1520, close_ventilator,3,170
1521, close_herb,3,180
1522, close_hummus,3,192
1523, close_nutella,3,196
1524, close_dressing:salad,3,198
1525, close_bag:rice,3,20
1526, close_sandwich,3,206
1527, close_hamburger,3,207
1528, close_sponge,3,21
1529, close_juice,3,215
1530, close_turmeric,3,227
1531, close_mayonnaise,3,238
1532, close_cookie,3,239
1533, close_oil,3,24
1534, close_bin,3,25
1535, close_almond,3,255
1536, close_flake:chilli,3,257
1537, close_ketchup,3,269
1538, close_bottle,3,28
1539, close_container,3,29
1540, close_garni:bouquet,3,295
1541, close_tap,3,3
1542, close_salt,3,31
1543, close_sink,3,33
1544, close_rosemary,3,331
1545, close_kettle,3,38
1546, close_box:cereal,3,39
1547, close_sauce:soy,3,41
1548, close_milk:soy,3,43
1549, close_rice,3,44
1550, close_garlic,3,45
1551, close_pepper,3,46
1552, close_dishwasher,3,49
1553, close_egg,3,50
1554, close_cheese,3,51
1555, close_bread,3,52
1556, close_microwave,3,55
1557, close_oven,3,56
1558, close_coffee,3,58
1559, close_bowl:sugar,3,6
1560, close_jar:sugar,3,60
1561, close_packet,3,77
1562, close_top,3,78
1563, close_spice,3,79
1564, close_door,3,8
1565, close_tortilla,3,80
1566, close_machine:washing,3,82
1567, close_olive,3,83
1568, close_can,3,87
1569, close_drawer,3,9
1570, close_film,3,91
1571, close_wrap,3,92
1572, close_flour,3,93
1573, close_squash,3,99
1574, knead_paste,40,145
1575, knead_dough,40,48
1576, set_timer,41,151
1577, set_flame,41,179
1578, set_time,41,188
1579, set-out_power,41,275
1580, set_alarm,41,306
1581, set-up_stove,41,47
1582, set_microwave,41,55
1583, set_cooker,41,56
1584, set_machine:washing,41,82
1585, enter_trash,42,108
1586, walk-around_chopstick,42,117
1587, enter_kitchen,42,123
1588, walk-to_chair,42,205
1589, enter_table,42,53
1590, split_fish,43,100
1591, separate_bit:onion,43,13
1592, separate_onion:spring,43,14
1593, separate_broccoli,43,173
1594, divide_meat:minced,43,26
1595, distribute_basil,43,277
1596, separate_tomato,43,30
1597, separate_plate:lasagne,43,4
1598, split_bulb,43,45
1599, separate_dough,43,48
1600, detach_egg,43,50
1601, distribute_cheese,43,51
1602, distribute_vegetable,43,90
1603, spray_remover:spot,44,222
1604, spray_hob,44,47
1605, spray_detergent,44,70
1606, use_chopstick,45,117
1607, used_hand,45,12
1608, used_piece:onion,45,13
1609, used_pesto:scoop,45,136
1610, used_tongs,45,168
1611, used_water,45,17
1612, use_sponge,45,21
1613, used_shaker:pepper,45,294
1614, use_knife,45,5
1615, use_spoon:wooden,45,7
1616, use_soap,45,98
1617, fold_basket,46,125
1618, fold_tablecloth,46,153
1619, fold_yeast,46,191
1620, fold_bag:rice,46,20
1621, fold_tap,46,3
1622, fold_bar:cereal,46,302
1623, fold_cloth:table,46,32
1624, fold_box,46,39
1625, fold_filter,46,59
1626, fold_towel:tea,46,65
1627, fold_roll:kitchen,46,66
1628, fold_packet:tea,46,77
1629, fold_tortilla,46,80
1630, fold_paper,46,81
1631, fold_drawer,46,9
1632, fry-in_pan,47,1
1633, fry_fish,47,100
1634, heat_bacon,47,133
1635, boil_water,47,17
1636, heat_oil,47,24
1637, reduce_phone:mobile,47,248
1638, cook_ring:onion,47,251
1639, cook_sprout,47,254
1640, fry_tomato,47,30
1641, boil_food,47,37
1642, boil_kettle,47,38
1643, fry_egg,47,50
1644, toast_bread,47,52
1645, heat_cooker,47,56
1646, heat_bowl,47,6
1647, fry_chicken,47,62
1648, cook_lettuce,47,73
1649, heat_sausage,47,84
1650, drain_saucepan,48,1
1651, drain_pot,48,15
1652, drain_sweetcorn,48,161
1653, drain_water:coriander,48,17
1654, strain_parsley,48,178
1655, drain_holder:filter,48,182
1656, drain_coriander,48,223
1657, drain_oil,48,24
1658, drain_berry,48,242
1659, drain_potato,48,27
1660, drain_container,48,29
1661, drain_tomato,48,30
1662, drain_sink,48,33
1663, drain_pasta,48,35
1664, drain_sauce,48,41
1665, drain_rice,48,44
1666, drain_cheese,48,51
1667, drain_salad,48,54
1668, drain_tray:baking,48,63
1669, drain_package:mozzarella,48,77
1670, drain_can,48,87
1671, drain_squash,48,99
1672, scrub_tap,49,3
1673, scrub_sink,49,33
1674, scrub_dish,49,4
1675, scrub_counter,49,78
1676, wash_pan,4,1
1677, wash_fish,4,100
1678, rinse_chilli,4,101
1679, clean_cover,4,102
1680, wash_aubergine,4,104
1681, wash_jug:measuring,4,105
1682, wash_piece:leek,4,107
1683, clean-up_garbage,4,108
1684, wash_ladle,4,109
1685, wash_lid,4,11
1686, wash_mushroom,4,110
1687, clean_chopstick,4,117
1688, rinse_grape,4,118
1689, wash_piece:ginger,4,119
1690, rinse_hand,4,12
1691, clean_kitchen,4,123
1692, rinse_basket,4,125
1693, clean_maker:coffee,4,126
1694, clean_brush,4,128
1695, wash_onion,4,13
1696, clean_clothes,4,130
1697, wash_grater,4,131
1698, rinse_strainer:mesh,4,132
1699, lather_utensil,4,137
1700, wash_bean:green,4,138
1701, wipe-off_floor,4,139
1702, wash_onion:spring,4,14
1703, clean_lime,4,140
1704, lather_grill,4,142
1705, clean_processor:food,4,146
1706, wipe_butter:excess,4,148
1707, wash_pot,4,15
1708, wash_shelf,4,150
1709, wash_rinse,4,152
1710, wash_tablecloth,4,153
1711, wash_glass,4,16
1712, rinse_corn:sweet,4,161
1713, rinse_cap:sink,4,164
1714, lather_support,4,165
1715, wash_tong,4,168
1716, wipe_water:excess,4,17
1717, rinse_broccoli,4,173
1718, wash_pin:rolling,4,174
1719, clean_plug,4,175
1720, wash_parsley,4,178
1721, wash_fork,4,18
1722, rinse_holder:filter,4,182
1723, wash_celery,4,185
1724, wipe-with_tissue,4,187
1725, wash_clip:bag,4,189
1726, wash_board:cutting,4,19
1727, wash_spinach,4,195
1728, wash_fruit,4,197
1729, wash_bag,4,20
1730, wash_paella,4,201
1731, rinse_sponge,4,21
1732, clean_dust,4,217
1733, clean_desk,4,218
1734, wash_mesh,4,219
1735, rinse_spatula,4,22
1736, rinse_coriander,4,223
1737, wash_cup,4,23
1738, rinse_juicer:lime,4,232
1739, wash_apple,4,234
1740, wash_finger,4,236
1741, wash_pear,4,240
1742, wash_berry,4,242
1743, wash_bin,4,25
1744, rinse_meat,4,26
1745, wash_blender,4,260
1746, rinse_potato,4,27
1747, rinse_bottle:milk,4,28
1748, wash_container,4,29
1749, wash_masher,4,291
1750, wash_tap,4,3
1751, wash_tomato,4,30
1752, rinse_rest:spoon,4,318
1753, rinse_rag,4,32
1754, wash_form,4,322
1755, wipe_sink,4,33
1756, clean_wall,4,343
1757, lather_dish:soap,4,36
1758, wipe-off_bit:food,4,37
1759, rinse_kettle,4,38
1760, wash_tupperware,4,39
1761, wash_plate,4,4
1762, wash_carrot,4,40
1763, wash_colander,4,42
1764, rinse_measurer:rice,4,44
1765, wash_pepper:bell,4,46
1766, wipe_hob,4,47
1767, wash_knife,4,5
1768, wash_egg,4,50
1769, wipe_table,4,53
1770, wash_salad,4,54
1771, clean_microwave,4,55
1772, wipe_cooker,4,56
1773, clean_catcher:sink,4,59
1774, wash_bowl,4,6
1775, rinse_jar,4,60
1776, wash_drainer,4,61
1777, rinse_chicken,4,62
1778, rinse_pan:baking,4,63
1779, wipe-off_mixture:chilli,4,64
1780, clean_towel,4,65
1781, clean-up_roll:kitchen,4,66
1782, rinse_peach,4,67
1783, wash_courgette,4,69
1784, wash_spoon,4,7
1785, wash_liquid:cleaning,4,70
1786, wash_leaf:lettuce,4,72
1787, wash_lettuce,4,73
1788, wash_leaf:mint,4,74
1789, rinse_cutlery,4,75
1790, rinse_scissors,4,76
1791, wipe_package,4,77
1792, wipe_counter,4,78
1793, wipe_cabinet,4,8
1794, wash_peeler,4,86
1795, wash_can,4,87
1796, wash_cucumber,4,94
1797, look-at_pan:frying,50,1
1798, look_chopstick,50,117
1799, look-at_hand,50,12
1800, look-at_tuna,50,122
1801, see_water:boiling,50,17
1802, look-at_time,50,188
1803, look-at_dressing,50,198
1804, read-on_bag,50,20
1805, look-at_spatula,50,22
1806, look-at_cup,50,23
1807, look-at_meat,50,26
1808, read_instruction,50,288
1809, read_recipe,50,307
1810, read_label,50,312
1811, read_geographic:national,50,333
1812, read-on_box,50,39
1813, look-at_piece:carrot,50,40
1814, look-at_pepper,50,46
1815, look_knife,50,5
1816, look_salad,50,54
1817, look_spade,50,7
1818, look-at_packet,50,77
1819, read_paper,50,81
1820, look-at_can,50,87
1821, end_fridge,51,10
1822, finish_chilli,51,101
1823, stop_heat,51,106
1824, stop_light,51,113
1825, stop_hand,51,12
1826, finish_onion:spring,51,14
1827, end_ingredient,51,143
1828, stop_processor,51,146
1829, stop_grinder:coffee,51,163
1830, end_chair,51,205
1831, stop_spatula,51,22
1832, end_finger,51,236
1833, stop_sauce,51,41
1834, stop_knife,51,5
1835, stop_oven,51,56
1836, stop_teaspoon,51,7
1837, stop_liquid,51,71
1838, stop_tortilla,51,80
1839, end-of_glove,51,85
1840, submerge_pan,52,1
1841, submerge_board:chopping,52,19
1842, soak_sponge,52,21
1843, submerge_spatula,52,22
1844, submerge_masher,52,291
1845, submerge_sink,52,33
1846, submerge_plate,52,4
1847, submerge_bowl,52,6
1848, submerge_tray:baking,52,63
1849, submerge_tin,52,87
1850, brush_cover,53,102
1851, brush_pot,53,15
1852, brush_knife,53,5
1853, brush_side:inner,53,78
1854, brush_cupboard,53,8
1855, brush_flour,53,93
1856, pull-out_pan,54,1
1857, pull-out_jug:measuring,54,105
1858, pull_lid,54,11
1859, pull_mixture:tuna,54,122
1860, pull_plug,54,175
1861, pull_celery,54,185
1862, pull-out_beef,54,243
1863, pull-out_tomato,54,30
1864, pull-out_dish:pie,54,4
1865, pull_carrot,54,40
1866, pull-out_garlic,54,45
1867, pull_tray,54,63
1868, pull-out_mixture,54,64
1869, pull_roll:kitchen,54,66
1870, pull-out_spoon,54,7
1871, pull-out_scissors,54,76
1872, pull-out_packet,54,77
1873, pull-out_chorizo,54,84
1874, pull-out_peeler,54,86
1875, pull_drawer,54,9
1876, pull_film:cling,54,91
1877, pull_cucumber,54,94
1878, dab_hand,55,12
1879, pat_tofu,55,159
1880, tap_water,55,17
1881, dab-with_tissue,55,187
1882, pat-into_patty,55,207
1883, tap-on_tap,55,3
1884, pat_rice,55,44
1885, poke_egg,55,50
1886, tap_spoon,55,7
1887, shape_tuna,56,122
1888, make_piece:onion,56,13
1889, make_bag:plastic,56,20
1890, shape-into_patty,56,207
1891, make_garlic,56,45
1892, form_bowl,56,6
1893, form_mixture,56,64
1894, measure_pan,57,1
1895, measure_root:galangal,57,119
1896, measure_onion,57,13
1897, measure_paste:shrimp,57,145
1898, measure_powder:baking,57,155
1899, measure_depth:water,57,17
1900, measure_thyme,57,183
1901, measure_coconut,57,193
1902, measure_wine,57,216
1903, measure_seed:coriander,57,229
1904, measure_paprika,57,231
1905, measure_breadcrumb,57,264
1906, measure_salt,57,31
1907, measure_pepper:cayenne,57,326
1908, measure_sauce:fish,57,41
1909, measure_rice,57,44
1910, measure_spice,57,79
1911, measure_flour,57,93
1912, drink-from_glass,58,16
1913, drink_water,58,17
1914, drink-from_cup,58,23
1915, drink_beer,58,274
1916, drink_milk,58,43
1917, select_temperature,59,106
1918, choose_pear,59,240
1919, select_power,59,275
1920, choose_garlic,59,45
1921, choose_pepper:bell,59,46
1922, choose_egg,59,50
1923, select_machine:washing,59,82
1924, choose_can,59,87
1925, cut_fish,5,100
1926, slice_chilli,5,101
1927, chop_aubergine,5,104
1928, cut_leek,5,107
1929, slice_mushroom,5,110
1930, cut_cube:stock,5,111
1931, cut_pizza,5,114
1932, slice_ginger,5,119
1933, cut_banana,5,120
1934, cut_slice:lemon,5,129
1935, cut_onion,5,13
1936, chop_bacon,5,133
1937, cut_avocado,5,134
1938, trim_bean:green,5,138
1939, cut_onion:spring,5,14
1940, cut_lime,5,140
1941, cut_tofu,5,159
1942, cut_broccoli,5,173
1943, chop_parsley,5,178
1944, cut_celery,5,185
1945, chop_kiwi,5,186
1946, cut_time:third,5,188
1947, chop_board,5,19
1948, cut_noodle:instant,5,190
1949, cut_cabbage,5,194
1950, slice_omelette:egg,5,199
1951, cut_bag:pasta,5,20
1952, cut_sandwich,5,206
1953, cut_spatula,5,22
1954, cut_coriander,5,223
1955, cut_pit,5,229
1956, cut_apple,5,234
1957, cut_ham,5,237
1958, cut_pear,5,240
1959, cut_stick:crab,5,246
1960, cut_pith,5,250
1961, slice_cake,5,253
1962, chop_mint,5,256
1963, cut_meat,5,26
1964, cut_melon,5,263
1965, chop-off_grass:lemon,5,268
1966, slice_potato,5,27
1967, cut_caper,5,284
1968, slice_container,5,29
1969, cut-off_part,5,292
1970, slice_tomato,5,30
1971, cut_pineapple,5,328
1972, slice_lasagne,5,35
1973, cut_plate:pasta,5,4
1974, cut_carrot,5,40
1975, cut_sauce,5,41
1976, slice-off_garlic,5,45
1977, slice_pepper,5,46
1978, cut_dough,5,48
1979, chop_knife,5,5
1980, slice_cheese,5,51
1981, slice_bread,5,52
1982, cut_salad,5,54
1983, chop_piece:chicken,5,62
1984, cut_peach,5,67
1985, cut_skin:onion,5,68
1986, cut_courgette,5,69
1987, cut_leaf,5,72
1988, cut_lettuce,5,73
1989, cut_packaging:meat,5,77
1990, chop-off_top,5,78
1991, cut_tortilla,5,80
1992, cut_paper:baking,5,81
1993, slice_olive,5,83
1994, cut_chorizo,5,84
1995, cut_wrap,5,92
1996, slice_cucumber,5,94
1997, chop_soap,5,98
1998, cut_squash,5,99
1999, dish_pan:frying,60,1
2000, plate-up_fork,60,18
2001, serve_cookie,60,239
2002, serve_jambalaya,60,342
2003, serve_food,60,37
2004, serve_milk,60,43
2005, serve_coffee,60,58
2006, serve_curry:potato,60,95
2007, drop_grater,61,131
2008, drop-on_floor,61,139
2009, drop_oil,61,24
2010, drop_shell:egg,61,249
2011, drop_carrot,61,40
2012, drop_knife,61,5
2013, drop_piece:courgette,61,69
2014, drop_spoon:coffee,61,7
2015, drop_can,61,87
2016, wear_apron,62,214
2017, wear_glove,62,85
2018, rip_foil,63,141
2019, tear_bag:plastic,63,20
2020, rip_meat:open,63,26
2021, rip_roll:kitchen,63,66
2022, rip_skin,63,68
2023, tear_wrapper,63,77
2024, tear-off_wrap:plastic,63,91
2025, tip_pan,64,1
2026, tip_ginger,64,119
2027, tip-over_cafetiere,64,126
2028, tip_onion,64,13
2029, tip_pea,64,213
2030, tip_piece:meat,64,26
2031, tip_potato,64,27
2032, tip_salt,64,31
